"pr_number","created_at","merged_at","time_to_merge_hrs"
88,"2025-04-09T18:31:46Z","2025-04-09T18:46:58Z","0.25"
87,"2025-04-09T18:30:53Z","2025-04-09T18:30:59Z","0.00"
86,"2025-03-26T23:57:57Z","2025-03-28T00:30:42Z","24.55"
85,"2025-03-26T23:57:12Z","2025-03-26T23:57:16Z","0.00"
84,"2025-03-16T16:30:07Z","2025-03-16T16:30:16Z","0.00"
83,"2025-03-13T02:22:30Z","2025-03-13T02:22:35Z","0.00"
82,"2025-03-12T18:17:09Z","2025-03-16T16:30:27Z","94.22"
81,"2025-03-12T18:16:35Z","2025-03-12T18:16:39Z","0.00"
80,"2025-02-05T18:58:48Z","2025-02-05T18:59:09Z","0.01"
79,"2025-02-05T17:16:36Z","2025-02-05T20:36:20Z","3.33"
78,"2025-02-05T17:15:46Z","2025-02-05T17:15:52Z","0.00"
77,"2025-01-11T00:27:51Z","2025-01-16T23:20:20Z","142.87"
76,"2025-01-11T00:27:14Z","2025-01-11T00:27:22Z","0.00"
75,"2025-01-01T20:26:51Z","2025-01-01T20:26:58Z","0.00"
74,"2025-01-01T20:26:18Z","2025-01-01T20:26:26Z","0.00"
73,"2024-12-30T17:36:22Z","2025-01-01T19:42:40Z","50.10"
72,"2024-12-30T17:35:25Z","2024-12-30T17:35:30Z","0.00"
71,"2024-12-19T20:30:19Z","2024-12-19T20:30:25Z","0.00"
70,"2024-12-19T20:29:56Z","2024-12-19T20:30:01Z","0.00"
69,"2024-12-19T19:14:45Z","2024-12-19T19:14:52Z","0.00"
68,"2024-12-19T19:13:24Z","2024-12-19T19:13:53Z","0.01"
67,"2024-12-13T00:12:51Z","2024-12-13T00:12:57Z","0.00"
66,"2024-12-13T00:11:58Z","2024-12-13T00:12:05Z","0.00"
65,"2024-12-04T17:28:05Z","2024-12-04T17:28:19Z","0.00"
64,"2024-12-04T00:21:02Z","2024-12-04T00:21:12Z","0.00"
63,"2024-10-30T19:47:39Z","2024-10-30T19:48:36Z","0.02"
62,"2024-10-12T16:48:02Z","2024-12-04T17:28:37Z","1272.68"
61,"2024-10-12T16:46:25Z","2024-10-12T16:46:31Z","0.00"
60,"2024-10-08T22:33:44Z","2024-10-08T22:33:50Z","0.00"
59,"2024-10-08T22:24:13Z","2024-10-08T22:24:19Z","0.00"
58,"2024-10-08T22:13:24Z","2024-10-09T04:06:06Z","5.88"
57,"2024-10-08T22:11:58Z","2024-10-08T22:12:04Z","0.00"
56,"2024-10-03T23:09:37Z","2024-10-03T23:09:43Z","0.00"
55,"2024-10-03T23:08:22Z","2024-10-03T23:08:28Z","0.00"
54,"2024-10-03T00:33:35Z","2024-10-03T00:33:41Z","0.00"
53,"2024-10-03T00:32:03Z","2024-10-03T00:32:34Z","0.01"
52,"2024-09-05T23:40:12Z","2024-09-05T23:40:18Z","0.00"
51,"2024-09-05T23:37:07Z","2024-10-03T21:07:26Z","669.51"
50,"2024-09-05T23:36:13Z","2024-09-05T23:36:19Z","0.00"
49,"2024-08-27T23:22:36Z","2024-08-27T23:22:42Z","0.00"
48,"2024-08-27T23:09:58Z","2024-08-27T23:10:09Z","0.00"
47,"2024-08-27T19:17:45Z","2024-08-27T19:17:51Z","0.00"
46,"2024-08-27T04:48:15Z","2024-08-27T04:48:21Z","0.00"
45,"2024-08-27T04:44:07Z","2024-08-27T04:44:13Z","0.00"
44,"2024-08-19T22:23:02Z","2024-08-19T22:23:08Z","0.00"
43,"2024-05-20T22:07:36Z","2024-05-20T22:07:41Z","0.00"
42,"2024-05-13T17:31:09Z","2024-08-28T03:04:12Z","2553.55"
41,"2024-05-13T17:30:08Z","2024-05-13T17:30:31Z","0.01"
40,"2024-05-13T17:28:05Z","2024-05-13T17:28:11Z","0.00"
39,"2024-05-06T20:49:17Z","2024-05-06T20:49:24Z","0.00"
38,"2024-05-06T20:22:03Z","2024-05-06T20:22:09Z","0.00"
37,"2024-05-05T16:46:01Z","2024-05-05T16:46:12Z","0.00"
36,"2024-05-05T16:28:35Z","2024-05-05T16:28:48Z","0.00"
35,"2024-04-10T23:12:05Z","2024-04-10T23:12:13Z","0.00"
